@relation spanish

@attribute one {_,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,0,1,2,3,4,5,6}
@attribute two {_,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,0,1,2,3,4,5,6}
@attribute thr {_,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,0,1,2,3,4,5,6}
@attribute fou {_,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,0,1,2,3,4,5,6}
@attribute fiv {_,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,0,1,2,3,4,5,6}
@attribute six {_,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,0,1,2,3,4,5,6}
@attribute sev {_,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,0,1,2,3,4,5,6}
@attribute eig {_,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,0,1,2,3,4,5,6}
@attribute nin {_,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,0,1,2,3,4,5,6}
@attribute ten {_,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,0,1,2,3,4,5,6}
@attribute ele {_,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,0,1,2,3,4,5,6}
@attribute twe {_,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,0,1,2,3,4,5,6}

@attribute class {_,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,0,1,2,3,4,5,6}


@data
a,_,l,i,t,t,l,e,_,_,_,_,c
a,_,l,o,t,_,_,_,_,_,_,_,c
a,b,d,o,m,e,n,_,_,_,_,_,d
a,b,o,r,t,i,o,n,_,_,_,_,o
a,b,o,u,t,_,_,_,_,_,_,_,b
a,b,o,u,t,_,t,o,_,d,o,_,t
a,b,o,v,e,_,_,_,_,_,_,_,c
a,b,r,o,a,d,_,_,_,_,_,_,_
a,b,s,e,n,t,_,_,_,_,_,_,s
a,b,s,o,l,u,t,e,l,y,_,_,s
a,b,u,s,e,_,_,_,_,_,_,_,u
a,c,c,e,l,e,r,a,t,o,r,_,e
a,c,c,e,n,t,_,_,_,_,_,_,e
a,c,c,e,p,t,_,_,_,_,_,_,e
a,c,c,e,s,s,_,_,_,_,_,_,n
a,c,c,i,d,e,n,t,_,_,_,_,c
a,c,c,o,m,m,o,d,a,t,i,o,o
a,c,c,o,m,p,a,n,y,_,_,_,o
a,c,c,o,m,p,l,i,s,h,_,_,n
a,c,c,o,r,d,i,n,g,_,_,_,g
a,c,c,o,u,n,t,_,_,_,_,_,e
a,c,c,o,u,n,t,a,n,t,_,_,n
a,c,c,u,r,a,t,e,_,_,_,_,e
a,c,c,u,s,e,_,_,_,_,_,_,u
a,c,h,e,_,_,_,_,_,_,_,_,l
a,c,i,d,_,_,_,_,_,_,_,_,i
a,c,t,i,o,n,_,_,_,_,_,_,c
a,c,t,i,v,e,_,_,_,_,_,_,t
a,c,t,i,v,i,t,y,_,_,_,_,t
a,c,t,o,r,_,_,_,_,_,_,_,t
a,d,a,p,t,o,r,_,_,_,_,_,a
a,d,d,_,_,_,_,_,_,_,_,_,a
a,d,d,i,c,t,e,d,_,_,_,_,r
a,d,d,r,e,s,s,_,_,_,_,_,r
a,d,j,u,s,t,_,_,_,_,_,_,u
a,d,m,i,s,s,i,o,n,_,_,_,m
a,d,m,i,t,_,_,_,_,_,_,_,n
a,d,o,l,e,s,c,e,n,t,_,_,o
