_,a,_,p
a,_,l,o
_,l,i,c
l,i,t,o
i,t,t,_
t,t,l,_
t,l,e,_
l,e,_,_
e,_,_,_
_,a,_,m
a,_,l,u
_,l,o,c
l,o,t,h
o,t,_,o
t,_,_,_
_,a,b,a
a,b,d,b
b,d,o,d
d,o,m,o
o,m,e,m
m,e,n,e
e,n,_,n
n,_,_,_
_,a,b,a
a,b,o,b
b,o,r,o
o,r,t,r
r,t,i,t
t,i,o,o
i,o,n,_
o,n,_,_
n,_,_,_
_,a,b,s
a,b,o,o
b,o,u,b
o,u,t,r
u,t,_,e
t,_,_,_
_,a,b,e
a,b,o,s
b,o,u,t
o,u,t,a
u,t,_,r
t,_,t,_
_,t,o,a
t,o,_,_
o,_,d,p
_,d,o,u
d,o,_,n
o,_,_,t
_,a,b,e
a,b,o,n
b,o,v,c
o,v,e,i
v,e,_,m
e,_,_,a
_,_,_,d
_,_,_,e
_,a,b,i
a,b,r,r
b,r,o,_
r,o,a,a
o,a,d,l
a,d,_,_
d,_,_,e
_,_,_,x
_,_,_,t
_,_,_,r
_,_,_,a
_,_,_,n
_,a,b,a
a,b,s,u
b,s,e,s
s,e,n,e
e,n,t,n
n,t,_,t
t,_,_,e
_,a,b,a
a,b,s,b
b,s,o,s
s,o,l,o
o,l,u,l
l,u,t,u
u,t,e,t
t,e,l,a
e,l,y,m
l,y,_,e
y,_,_,n
_,_,_,t
_,a,b,a
a,b,u,b
b,u,s,u
u,s,e,s
s,e,_,a
e,_,_,r
_,_,_,d
_,_,_,e
_,a,c,a
a,c,c,c
c,c,e,e
c,e,l,l
e,l,e,e
l,e,r,r
e,r,a,a
r,a,t,d
a,t,o,o
t,o,r,r
o,r,_,_
r,_,_,_
_,a,c,a
a,c,c,c
c,c,e,e
c,e,n,n
e,n,t,t
n,t,_,o
t,_,_,_
_,a,c,a
a,c,c,c
c,c,e,e
c,e,p,p
e,p,t,t
p,t,_,a
t,_,_,r
_,a,c,t
a,c,c,e
c,c,e,n
c,e,s,e
e,s,s,r
s,s,_,_
s,_,_,a
_,_,_,c
_,_,_,c
_,_,_,e
_,_,_,s
_,_,_,o
_,a,c,a
a,c,c,c
c,c,i,c
c,i,d,i
i,d,e,d
d,e,n,e
e,n,t,n
n,t,_,t
t,_,_,e
_,a,c,a
a,c,c,l
c,c,o,o
c,o,m,j
o,m,m,a
m,m,o,m
m,o,d,i
